Score	Bval	Edges
-2178.3198	9.72985764425e-005	0->3
-2178.3448	9.58992688383e-005	0->3
-2178.3716	9.45369646179e-005	0->3
-2178.4002	9.32130704168e-005	0->3
-2178.4029	9.18927459088e-005	0->3
-2178.4233	9.05990831463e-005	0->3
-2178.4253	8.93080051238e-005	0->3
-2178.4307	8.80238801324e-005	0->3
-2178.4426	8.67549456656e-005	0->3
-2178.4677	8.55174650567e-005	0->3
-2178.4708	8.42838146977e-005	0->3
-2178.5047	8.30912841669e-005	0->3
-2178.5246	8.19222504252e-005	0->3
-2178.5658	8.08004021782e-005	0->3
-2178.5944	7.97101843204e-005	0->3
-2178.5964	7.86221447193e-005	0->3
-2178.6667	7.76079676183e-005	0->3
-2178.6768	7.66039821515e-005	0->3
-2178.7193	7.56417720527e-005	0->3
-2178.7214	7.46815804749e-005	0->3
-2178.7572	7.37551557231e-005	0->3
-2178.7720	7.28423410942e-005	0->3
-2178.8399	7.19894491818e-005	0->3
-2178.8693	7.11612672748e-005	0->3
-2178.8999	7.03580439207e-005	0->3
-2178.9044	6.95584269513e-005	0->3
-2178.9434	6.87893947639e-005	0->3
-2178.9610	6.80337791311e-005	0->3
-2178.9819	6.72937919784e-005	0->3
-2178.9826	6.65543226355e-005	0->3
-2178.9901	6.5820378567e-005	0->3
-2178.9932	6.50887062021e-005	0->3
-2179.0183	6.43751702495e-005	0->3
-2179.0231	6.36650510626e-005	0->3
-2179.0550	6.29772271771e-005	0->3
-2179.0953	6.23165714784e-005	0->3
-2179.1148	6.16686737711e-005	0->3
-2179.1217	6.10252311702e-005	0->3
-2179.1459	6.03971729781e-005	0->3
-2179.1514	5.9772559624e-005	0->3
-2179.1542	5.91496927412e-005	0->3
-2179.1543	5.85268881419e-005	0->3
-2179.1777	5.7918487981e-005	0->3
-2179.1811	5.73121528682e-005	0->3
-2179.1896	5.67109497618e-005	0->3
-2179.2101	5.61219458502e-005	0->3
-2179.2145	5.55355278626e-005	0->3
-2179.2377	5.49625581688e-005	0->3
-2179.2592	5.44017758399e-005	0->3
-2179.2628	5.38430086978e-005	0->3
-2179.2667	5.32864165037e-005	0->3
-2179.2698	5.27315470737e-005	0->3
-2179.2829	5.21838990299e-005	0->3
-2179.2922	5.16413205031e-005	0->3
-2179.3065	5.11064456368e-005	0->3
-2179.3142	5.05756734913e-005	0->3
-2179.3266	5.00514422827e-005	0->3
-2179.3316	4.95298256881e-005	0->3
-2179.3663	4.90259987538e-005	0->3
-2179.3728	4.85254360743e-005	0->3
-2179.3732	4.80250735798e-005	0->3
-2179.3914	4.75337353131e-005	0->3
-2179.4258	4.70590116728e-005	0->3
-2179.4293	4.6585946661e-005	0->3
-2179.4309	4.6113637948e-005	0->3
-2179.4412	4.56461690469e-005	0->3
-2179.4450	4.51804731568e-005	0->3
-2179.4509	4.47175167829e-005	0->3
-2179.4617	4.42595334352e-005	0->3
-2179.4867	4.38128577366e-005	0->3
-2179.4936	4.33692534916e-005	0->3
-2179.4988	4.29279500016e-005	0->3
-2179.5014	4.24877924103e-005	0->3
-2179.5040	4.20487777423e-005	0->3
-2179.5143	4.16142617177e-005	0->3
-2179.5183	4.11814802856e-005	0->3
-2179.5219	4.07502540656e-005	0->3
-2179.5431	4.03280736175e-005	0->3
-2179.5579	3.99120954301e-005	0->3
-2179.5642	3.94987296675e-005	0->3
-2179.5688	3.90872610207e-005	0->3
-2179.5694	3.8676039181e-005	0->3
-2179.5832	3.82704532257e-005	0->3
-2179.6033	3.78729381638e-005	0->3
-2179.6109	3.74784327653e-005	0->3
-2179.6243	3.7089178478e-005	0->3
-2179.6326	3.67031416305e-005	0->3
-2179.6395	3.63197592687e-005	0->3
-2179.6430	3.59377163998e-005	0->3
-2179.6950	3.55750320759e-005	0->3
-2179.6966	3.52129275829e-005	0->3
-2179.7025	3.48529532164e-005	0->3
-2179.7141	3.44971304268e-005	0->3
-2179.7341	3.41483534006e-005	0->3
-2179.7383	3.38010381659e-005	0->3
-2179.7452	3.34561111575e-005	0->3
-2179.7555	3.31147186633e-005	0->3
-2179.7754	3.27800527285e-005	0->3
-2179.7757	3.24454871784e-005	0->3
-2179.7820	3.21130227657e-005	0->3
-2179.7939	3.17844912326e-005	0->3
-2179.7947	3.14562224195e-005	0->3
-2179.8158	3.11348075154e-005	0->3
-2179.8178	3.08140347986e-005	0->3
-2179.8204	3.04940950077e-005	0->3
-2179.8715	3.01900934502e-005	0->3
-2179.8842	2.98899282997e-005	0->3
-2179.9055	2.95960890568e-005	0->3
-2179.9161	2.93053480603e-005	0->3
-2179.9478	2.90236790033e-005	0->3
-2179.9606	2.87455923341e-005	0->3
-2179.9857	2.847439877e-005	0->3
-2180.0098	2.82096628436e-005	0->3
-2180.0107	2.79451650725e-005	0->3
-2180.0125	2.7681142969e-005	0->3
-2180.0273	2.74209996191e-005	0->3
-2180.0316	2.71619724841e-005	0->3
-2180.0325	2.69031783686e-005	0->3
-2180.0363	2.66453658046e-005	0->3
-2180.0522	2.63916200436e-005	0->3
-2180.0587	2.61395182812e-005	0->3
-2180.0706	2.58903987504e-005	0->3
-2180.0716	2.56415282146e-005	0->3
